gene	function
PTP4A1	protein tyrosine phosphatase 4A1 — This gene encodes a member of a small class of prenylated protein tyrosine phosphatases (PTPs), which contain a PTP domain and a characteristic C-terminal prenylation motif. The encoded protein is a cell signaling molecule that plays reg...
PTP4A2	protein tyrosine phosphatase 4A2 — The protein encoded by this gene belongs to a small class of the protein tyrosine phosphatase (PTP) family. PTPs are cell signaling molecules that play regulatory roles in a variety of cellular processes.
PTP4A3	protein tyrosine phosphatase 4A3 — This gene encodes a member of the protein-tyrosine phosphatase family. Protein tyrosine phosphatases are cell signaling molecules that play regulatory roles in a variety of cellular processes.
PTPMT1	protein tyrosine phosphatase mitochondrial 1 — Predicted to enable phosphatidylglycerophosphatase activity and phosphatidylinositol-4,5-bisphosphate 5-phosphatase activity. Involved in regulation of intrinsic apoptotic signaling pathway.
PTPN1	protein tyrosine phosphatase non-receptor type 1 — The protein encoded by this gene is the founding member of the protein tyrosine phosphatase (PTP) family, which was isolated and identified based on its enzymatic activity and amino acid sequence. PTPs catalyze the hydrolysis of the phos...
PTPN14	protein tyrosine phosphatase non-receptor type 14 — The protein encoded by this gene is a member of the protein tyrosine phosphatase (PTP) family. PTPs are known to be signaling molecules that regulate a variety of cellular processes including cell growth, differentiation, mitotic cycle,...
PTPN2	protein tyrosine phosphatase non-receptor type 2 — The protein encoded by this gene is a member of the protein tyrosine phosphatase (PTP) family. Members of the PTP family share a highly conserved catalytic motif, which is essential for the catalytic activity.
PTPN21	protein tyrosine phosphatase non-receptor type 21 — The protein encoded by this gene is a member of the protein tyrosine phosphatase (PTP) family. PTPs are known to be signaling molecules that regulate a variety of cellular processes including cell growth, differentiation, mitotic cycle,...
PTPN23	protein tyrosine phosphatase non-receptor type 23 — This gene encodes a member of the non-receptor type protein-tyrosine phosphatase family. The encoded protein may be involved in the regulation of small nuclear ribonucleo protein assembly and pre-mRNA splicing by modifying the survival m...
PTPN6	protein tyrosine phosphatase non-receptor type 6 — The protein encoded by this gene is a member of the protein tyrosine phosphatase (PTP) family. PTPs are known to be signaling molecules that regulate a variety of cellular processes including cell growth, differentiation, mitotic cycle,...
PTPRC	protein tyrosine phosphatase receptor type C — The protein encoded by this gene is a member of the protein tyrosine phosphatase (PTP) family. PTPs are known to be signaling molecules that regulate a variety of cellular processes including cell growth, differentiation, mitosis, and on...
PTPRD	protein tyrosine phosphatase receptor type D — The protein encoded by this gene is a member of the protein tyrosine phosphatase (PTP) family. PTPs are known to be signaling molecules that regulate a variety of cellular processes including cell growth, differentiation, mitotic cycle,...
PTPRD-AS1	PTPRD antisense RNA 1 (non-coding RNA; limited characterised function).
PTPRE	protein tyrosine phosphatase receptor type E — The protein encoded by this gene is a member of the protein tyrosine phosphatase (PTP) family. PTPs are known to be signaling molecules that regulate a variety of cellular processes including cell growth, differentiation, mitotic cycle,...
PTPRF	protein tyrosine phosphatase receptor type F — The protein encoded by this gene is a member of the protein tyrosine phosphatase (PTP) family. PTPs are known to be signaling molecules that regulate a variety of cellular processes including cell growth, differentiation, mitotic cycle,...
PTPRG	protein tyrosine phosphatase receptor type G — The protein encoded by this gene is a member of the protein tyrosine phosphatase (PTP) family. PTPs are known to be signaling molecules that regulate a variety of cellular processes including cell growth, differentiation, mitotic cycle,...
PTPRG-AS1	PTPRG antisense RNA 1 (non-coding RNA; limited characterised function).
PTPRH	protein tyrosine phosphatase receptor type H — The protein encoded by this gene is a member of the protein tyrosine phosphatase (PTP) family. PTPs are known to be signaling molecules that regulate a variety of cellular processes including cell growth, differentiation, mitotic cycle,...
PTPRJ	protein tyrosine phosphatase receptor type J — The protein encoded by this gene is a member of the protein tyrosine phosphatase (PTP) family. PTPs are known to be signaling molecules that regulate a variety of cellular processes, including cell growth, differentiation, mitotic cycle,...
PTPRM	protein tyrosine phosphatase receptor type M — The protein encoded by this gene is a member of the protein tyrosine phosphatase (PTP) family. PTPs are known to be signaling molecules that regulate a variety of cellular processes including cell growth, differentiation, mitotic cycle,...
PTPRN	protein tyrosine phosphatase receptor type N — The protein encoded by this gene is a member of the protein tyrosine phosphatase (PTP) family. PTPs are known to be signaling molecules that regulate a variety of cellular processes including cell growth, differentiation, mitotic cycle,...
PTPRN2	protein tyrosine phosphatase receptor type N2 — This gene encodes a protein with sequence similarity to receptor-like protein tyrosine phosphatases. However, tyrosine phosphatase activity has not been experimentally validated for this protein.
PTPRN2-AS1	PTPRN2 antisense RNA 1 (non-coding RNA; limited characterised function).
PTPRO	protein tyrosine phosphatase receptor type O — This gene encodes a member of the R3 subtype family of receptor-type protein tyrosine phosphatases. These proteins are localized to the apical surface of polarized cells and may have tissue-specific functions through activation of Src fa...
PTPRQ	protein tyrosine phosphatase receptor type Q — This locus encodes a member of the type III receptor-like protein-tyrosine phosphatase family. The encoded protein catalyzes the dephosphorylation of phosphotyrosine and phosphatidylinositol and plays roles in cellular proliferation and...
PTPRR	protein tyrosine phosphatase receptor type R — The protein encoded by this gene is a member of the protein tyrosine phosphatase (PTP) family. PTPs are known to be signaling molecules that regulate a variety of cellular processes including cell growth, differentiation, mitotic cycle,...
PTPRS	protein tyrosine phosphatase receptor type S — The protein encoded by this gene is a member of the protein tyrosine phosphatase (PTP) family. PTPs are known to be signaling molecules that regulate a variety of cellular processes including cell growth, differentiation, mitotic cycle,...
PTPRU	protein tyrosine phosphatase receptor type U — The protein encoded by this gene is a member of the protein tyrosine phosphatase (PTP) family. PTPs are known to be signaling molecules that regulate a variety of cellular processes including cell growth, differentiation, mitotic cycle,...
PTPRZ1	protein tyrosine phosphatase receptor type Z1 — This gene encodes a member of the receptor protein tyrosine phosphatase family. Expression of this gene is restricted to the central nervous system (CNS), and it may be involved in the regulation of specific developmental processes in th...
PTRH1	peptidyl-tRNA hydrolase 1 homolog — Enables RNA binding activity. [provided by Alliance of Genome Resources, Apr 2022]
PTTG1IP	PTTG1 interacting protein — This gene encodes a single-pass type I integral membrane protein, which binds to pituitary tumor-transforming 1 protein (PTTG1), and facilitates translocation of PTTG1 into the nucleus. Coexpression of this protein and PTTG1 induces tran...
PTX3	pentraxin 3 — This gene encodes a member of the pentraxin protein family. The expression of this protein is induced by inflammatory cytokines in response to inflammatory stimuli in several mesenchymal and epithelial cell types, particularly endothelia...
PUDPP2	pseudouridine 5'-phosphatase pseudogene 2 (pseudogene).
PUM1	pumilio RNA binding family member 1 — This gene encodes a member of the PUF family, evolutionarily conserved RNA-binding proteins related to the Pumilio proteins of Drosophila and the fem-3 mRNA binding factor proteins of C. elegans.
PUM2	pumilio RNA binding family member 2 — This gene encodes a protein that belongs to a family of RNA-binding proteins. The encoded protein functions as a translational repressor during embryonic development and cell differentiation.
PURA	purine rich element binding protein A — This gene product is a sequence-specific, single-stranded DNA-binding protein. It binds preferentially to the single strand of the purine-rich element termed PUR, which is present at origins of replication and in gene flanking regions in...
